geometry/coordinates/0	geometry/coordinates/1	properties/id	properties/url	properties/city	properties/name	properties/state	properties/address	properties/provider	properties/postal_code	properties/provider_brand	properties/provider_brand_id	properties/provider_brand_name	properties/provider_location_id	properties/appointments_available	properties/appointments_available_all_doses	properties/appointments_available_2nd_dose_only	properties/appointment_types/unknown	properties/appointment_vaccine_types/moderna	properties/appointment_vaccine_types	properties/appointment_vaccine_types/jj	properties/appointment_vaccine_types/unknown
-86.600485	30.441629	206729907	https://www.publix.com/covid-vaccine	Fort Walton Beach	Publix	FL	610 Eglin Pkwy NE	publix	32547	publix	200093	Publix	1303	FALSE	FALSE	FALSE					
-87.180141	30.639985	206729901	https://www.publix.com/covid-vaccine	Pace	Five Points Shopping Center	FL	5580 Woodbine Rd	publix	32571	publix	200093	Publix	1572	FALSE	FALSE	FALSE					
-87.164095	30.359896	206729900	https://www.publix.com/covid-vaccine	Gulf Breeze	Sea Shell Collections	FL	852 Gulf Breeze Pkwy	publix	32561	publix	200093	Publix	1189	FALSE	FALSE	FALSE					
-82.644446	27.770718	206729465	https://www.publix.com/covid-vaccine	Saint Petersburg	700 Central	FL	725 1st Ave S	publix	33701	publix	200093	Publix	1531	FALSE	FALSE	FALSE					
-81.735803	30.310338	54271854	https://www.winndixie.com/pharmacy/covid-vaccine	JACKSONVILLE	NORMANDY MARKETPLACE	FL	5207 NORMANDY BOULEVARD	southeastern_grocers	32205	winn_dixie	1387	Winn-Dixie	1-191	FALSE	FALSE	FALSE	TRUE	TRUE			
-82.229857	28.521457	54271919	https://www.winndixie.com/pharmacy/covid-vaccine	BROOKSVILLE	SUNRISE PLAZA	FL	31100 CORTEZ BLVD	southeastern_grocers	34602	winn_dixie	1387	Winn-Dixie	1-652	FALSE	FALSE	FALSE	TRUE	TRUE			
-82.114009	29.94397	54271874	https://www.winndixie.com/pharmacy/covid-vaccine	STARKE	STARKE PLAZA	FL	470 W. MADISON STREET	southeastern_grocers	32091	winn_dixie	1387	Winn-Dixie	Jan-85	FALSE	FALSE	FALSE	TRUE	TRUE			
-82.36474	28.2398	54271929	https://www.winndixie.com/pharmacy/covid-vaccine	WESLEY CHAPEL		FL	27301 Wesley Chapel Blvd	southeastern_grocers	33543	winn_dixie	1387	Winn-Dixie	Jan-03	FALSE	FALSE	FALSE	TRUE	TRUE			
-80.37664	25.73437	54273756	https://www.winndixie.com/pharmacy/covid-vaccine	MIAMI	CONCORD SHOPPING MALL	FL	11241 S.W. 40TH STREET	southeastern_grocers	33165	winn_dixie	1387	Winn-Dixie	1-254	FALSE	FALSE	FALSE	TRUE	TRUE			
-82.70894	28.25754	54271932	https://www.winndixie.com/pharmacy/covid-vaccine	NEW PORT RICHEY		FL	6400 Massachusetts Ave	southeastern_grocers	34653	winn_dixie	1387	Winn-Dixie	Jan-29	FALSE	FALSE	FALSE					
-82.636334	27.769137	206729466	https://www.publix.com/covid-vaccine	Saint Petersburg	University Village	FL	250 3rd St S	publix	33701	publix	200093	Publix	28	FALSE	FALSE	FALSE					
-81.64945	26.60478	54269509	https://www.frescoymas.com/pharmacy/covid-vaccine	LEHIGH ACRES	SUNSHINE PLAZA	FL	1145 HOMESTEAD ROAD NORTH	southeastern_grocers	33936	fresco_y_mas	1382	Fresco y Más	4-745	FALSE	FALSE	FALSE					
-80.49541	27.77931	54272902	https://www.winndixie.com/pharmacy/covid-vaccine	SEBASTIAN	SEBASTIAN LAKE SHOPPING CNTR	FL	995 Sebastian Blvd STE B	southeastern_grocers	32958	winn_dixie	1387	Winn-Dixie	Jan-54	FALSE	FALSE	FALSE	TRUE	TRUE			
-81.426	28.496	170686333	https://www.costco.com/covid-vaccine.html	ORLANDO	S Orlando	FL	4696 GARDENS PARK BLVD	costco	32839	costco	139709	Costco	1235	FALSE	FALSE	FALSE					
-82.270666	26.933962	54273720	https://www.winndixie.com/pharmacy/covid-vaccine	ENGLEWOOD		FL	4100 MCCALL ROAD	southeastern_grocers	34224	winn_dixie	1387	Winn-Dixie	1-720	FALSE	FALSE	FALSE	TRUE	TRUE			
-81.60519	30.276784	54271840	https://www.harveyssupermarkets.com/pharmacy/covid-vaccine	JACKSONVILLE	SANTA MONICA SHOPPING CTR	FL	5909 UNIVERSITY BLVD. W.	southeastern_grocers	32216	harveys	1386	Harveys	3-1690	FALSE	FALSE	FALSE	TRUE	TRUE			
-85.751513	30.158	54273729	https://www.winndixie.com/pharmacy/covid-vaccine	PANAMA CITY	BAY POINT MARKETPLACE	FL	2533 THOMAS DRIVE	southeastern_grocers	32408	winn_dixie	1387	Winn-Dixie	1-552	FALSE	FALSE	FALSE	TRUE	TRUE			
-80.845139	28.637771	54271918	https://www.winndixie.com/pharmacy/covid-vaccine	TITUSVILLE	DAIRY PLAZA	FL	1535 N SINGLETON AVE	southeastern_grocers	32796	winn_dixie	1387	Winn-Dixie	Jan-27	FALSE	FALSE	FALSE	TRUE	TRUE			
-81.99849	26.9479	54273718	https://www.winndixie.com/pharmacy/covid-vaccine	PUNTA GORDA	CLEVELAND MARKETPLACE	FL	27680 BERMONT ROAD	southeastern_grocers	33982	winn_dixie	1387	Winn-Dixie	1-741	FALSE	FALSE	FALSE	TRUE	TRUE			
-82.76209	28.018327	206799773	https://www.publix.com/covid-vaccine	Dunedin	Granada Plaza	FL	1491 Main St	publix	34698	publix	200093	Publix	353	FALSE	FALSE	FALSE					
-82.439031	28.188303	206892602	https://www.publix.com/covid-vaccine	Land O Lakes	Collier Commons	FL	2121 Collier Pkwy	publix	34639	publix	200093	Publix	877	FALSE	FALSE	FALSE					
-81.301	28.597	170686332	https://www.costco.com/covid-vaccine.html	WINTER PARK	E Orlando	FL	3333 UNIVERSITY BLVD	costco	32792	costco	139709	Costco	185	FALSE	FALSE	FALSE					
-81.638446	28.1053	206893764	https://www.publix.com/covid-vaccine	Haines City	Haines City Mall	FL	617 US Highway 17 92 W	publix	33844	publix	200093	Publix	1076	FALSE	FALSE	FALSE					
-82.58386	27.997813	206799785	https://www.publix.com/covid-vaccine	Tampa	Publix	FL	8701 W Hillsborough Ave	publix	33615	publix	200093	Publix	1324	FALSE	FALSE	FALSE					
-82.223463	26.931718	206800541	https://www.publix.com/covid-vaccine	Port Charlotte	Publix at Gulf Cove	FL	13435 S McCall Rd	publix	33981	publix	200093	Publix	778	FALSE	FALSE	FALSE					
